	full name	simple name	stigmatizing
0	\COVID19-ORCHID ( phs002299 )\bl_hospadmtm\	bl_hospadmtm	n
1	\COVID19-ORCHID ( phs002299 )\bl_race___1\	bl_race___1	n
2	\COVID19-ORCHID ( phs002299 )\bl_race___5\	bl_race___5	n
3	\COVID19-ORCHID ( phs002299 )\bl_race___6\	bl_race___6	n
4	\COVID19-ORCHID ( phs002299 )\bl_race___othcat\	bl_race___othcat	n
5	\COVID19-ORCHID ( phs002299 )\bl_sex\	bl_sex	n
6	\COVID19-ORCHID ( phs002299 )\d_male_sex\	d_male_sex	n
7	\COVID19-ORCHID ( phs002299 )\d_race\	d_race	n
8	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Anti-psychotic medications\	Anti-psychotic medications	y
9	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Anti-psychotic\	Anti-psychotic	y
10	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Brief up-date on general health status and changes that may have occurred since last visit. Data were collected at year 12 (6-months phone interview follow-up).\CURRENT MARITAL STATUS\	CURRENT MARITAL STATUS	y
11	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Brief up-date on general health status and changes that may have occurred since last visit. Data were collected at year 13 (6-months phone interview follow-up).\CURRENT MARITAL STATUS\	CURRENT MARITAL STATUS	y
12	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Brief up-date on general health status and changes that may have occurred since last visit. Data were collected at year 14 (6-months phone interview follow-up).\CURRENT MARITAL STATUS\	CURRENT MARITAL STATUS	y
13	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Brief up-date on general health status and changes that may have occurred since last visit. Data were collected at year 15 (6-months phone interview follow-up).\CURRENT MARITAL STATUS\	CURRENT MARITAL STATUS	y
14	\Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older ( phs000287 )\Brief up-date on general health status and changes that may have occurred since last visit. Data were collected at year 16 (6-months phone interview follow-up).\CURRENT MARITAL STATUS\	CURRENT MARITAL STATUS	y
